date,state,households,participation,per_person,total_cost,prev_per_person,prev_total_cost,per_person_change,total_cost_change,abs_person_change,abs_total_cost_change
1996-10-01,New Jersey,224857,519632,374.41,8.4187111E7,347.54,7.8700756E7,26.87,5486355.0,26.87,5486355.0
1993-05-01,Alaska,16011,48824,583.74,9346262.0,610.58,9959324.0,-26.84,-613062.0,26.84,613062.0
2020-10-01,South Carolina,290774,611862,486.36,1.41421064E8,459.52,1.34583464E8,26.84,6837600.0,26.84,6837600.0
2011-06-01,Massachusetts,457014,832768,369.55,1.68891521E8,342.76,1.53959991E8,26.79,1.493153E7,26.79,1.493153E7
2023-07-01,Alaska,30581,66539,750.7,2.2956916E7,723.93,2.1868436E7,26.77,1088480.0,26.77,1088480.0
2021-10-01,Oregon,382886,658538,498.84,1.91002021E8,472.07,1.83677019E8,26.77,7325002.0,26.77,7325002.0
1997-08-01,New Jersey,202356,467349,377.72,7.6432374E7,350.95,7.1839587E7,26.77,4592787.0,26.77,4592787.0
2013-10-01,Hawaii,99081,194961,620.13,6.1442322E7,593.37,5.786651E7,26.76,3575812.0,26.76,3575812.0
2020-06-01,New Hampshire,38476,72205,387.87,1.4923712E7,414.57,1.6838849E7,-26.7,-1915137.0,26.7,1915137.0
1989-04-01,Arizona,93047,271697,417.78,3.8873031E7,444.47,4.0001298E7,-26.69,-1128267.0,26.69,1128267.0
1994-10-01,Louisiana,268891,720876,441.55,1.18729334E8,414.87,1.13434789E8,26.68,5294545.0,26.68,5294545.0
2004-10-01,Arizona,218968,550114,417.94,9.1514305E7,391.32,8.4205111E7,26.62,7309194.0,26.62,7309194.0
1990-10-01,West Virginia,97537,261316,429.42,4.1884832E7,402.81,3.888821E7,26.61,2996622.0,26.61,2996622.0
2023-06-01,Virgin Islands,10423,20751,525.87,5481175.0,499.28,5227424.0,26.59,253751.0,26.59,253751.0
2007-05-01,Guam,7646,25824,945.59,7230003.0,919.04,7232825.0,26.55,-2822.0,26.55,2822.0
1991-10-01,Kentucky,189354,509063,441.1,8.3524202E7,414.55,7.7597389E7,26.55,5926813.0,26.55,5926813.0
1994-01-01,California,1207399,3192996,400.56,4.83644445E8,374.05,4.28344145E8,26.51,5.53003E7,26.51,5.53003E7
2021-10-01,Texas,1502532,3382376,639.27,9.6051444E8,612.82,8.69049357E8,26.45,9.1465083E7,26.45,9.1465083E7
2007-01-01,Guam,7835,26304,948.04,7427834.0,974.48,7436267.0,-26.44,-8433.0,26.44,8433.0
2021-10-01,West Virginia,161439,299037,536.6,8.6627057E7,510.18,8.2486114E7,26.42,4140943.0,26.42,4140943.0
1991-10-01,Pennsylvania,475844,1092730,368.22,1.75218172E8,341.8,1.61816371E8,26.42,1.3401801E7,26.42,1.3401801E7
2019-08-01,Hawaii,79813,154642,584.43,4.6645068E7,558.01,4.6516506E7,26.42,128562.0,26.42,128562.0
2007-10-01,California,861074,2107994,430.03,3.70295563E8,403.64,3.42097194E8,26.39,2.8198369E7,26.39,2.8198369E7
1998-11-01,California,771268,2089154,393.34,3.03381573E8,419.7,3.27760207E8,-26.36,-2.4378634E7,26.36,2.4378634E7
2013-11-01,Virginia,456627,940065,338.1,1.54381763E8,364.44,1.67419986E8,-26.34,-1.3038223E7,26.34,1.3038223E7
2020-12-01,Nevada,224901,442157,431.93,9.7142494E7,458.25,1.12675261E8,-26.32,-1.5532767E7,26.32,1.5532767E7
2021-03-01,Texas,1487039,3392447,644.52,9.58423427E8,618.21,9.22028472E8,26.31,3.6394955E7,26.31,3.6394955E7
2021-05-01,Texas,1521757,3436958,610.91,9.29647264E8,637.2,9.78941745E8,-26.29,-4.9294481E7,26.29,4.9294481E7
2022-04-01,Florida,1540964,2786261,319.22,4.91910922E8,292.93,4.51712011E8,26.29,4.0198911E7,26.29,4.0198911E7
2021-04-01,Michigan,685860,1263496,446.32,3.06113598E8,472.6,3.35973606E8,-26.28,-2.9860008E7,26.28,2.9860008E7
2022-05-01,North Dakota,23660,47923,336.37,7958630.0,362.65,8591503.0,-26.28,-632873.0,26.28,632873.0
2025-02-01,Tennessee,344919,694241,407.92,1.40698686E8,434.18,1.49695151E8,-26.26,-8996465.0,26.26,8996465.0
2004-10-01,Pennsylvania,457484,1013261,334.65,1.53095304E8,308.41,1.39321037E8,26.24,1.3774267E7,26.24,1.3774267E7
1990-10-01,Nevada,23693,54013,413.41,9795155.0,387.17,8961873.0,26.24,833282.0,26.24,833282.0
2022-04-01,Arizona,391329,831414,540.07,2.11341833E8,513.84,1.97196076E8,26.23,1.4145757E7,26.23,1.4145757E7
2025-02-01,Massachusetts,671325,1093061,325.66,2.18623111E8,299.43,2.01928025E8,26.23,1.6695086E7,26.23,1.6695086E7
2013-11-01,New Jersey,429060,864490,340.42,1.46059487E8,366.65,1.61891458E8,-26.23,-1.5831971E7,26.23,1.5831971E7
2012-10-01,Guam,14485,44799,938.41,1.3592841E7,912.21,1.3508846E7,26.2,83995.0,26.2,83995.0
2020-10-01,Maryland,386540,697144,421.72,1.63013985E8,395.52,1.73773925E8,26.2,-1.075994E7,26.2,1.075994E7
2014-08-01,Hawaii,97629,192117,626.41,6.1155342E7,600.21,5.979817E7,26.2,1357172.0,26.2,1357172.0
2021-04-01,Oregon,427139,715336,443.84,1.89579979E8,417.65,1.92546056E8,26.19,-2966077.0,26.19,2966077.0
2002-10-01,New York,706191,1386202,340.51,2.40463234E8,314.32,2.20180282E8,26.19,2.0282952E7,26.19,2.0282952E7
1993-06-01,Alaska,15465,46165,557.56,8622678.0,583.74,9346262.0,-26.18,-723584.0,26.18,723584.0
2019-07-01,Hawaii,83361,162260,558.01,4.6516506E7,584.15,4.6558239E7,-26.14,-41733.0,26.14,41733.0
2003-09-01,New Jersey,166736,360244,311.72,5.1973206E7,337.86,5.5011323E7,-26.14,-3038117.0,26.14,3038117.0
2013-11-01,Delaware,71828,151800,346.61,2.4896577E7,372.74,2.7457175E7,-26.13,-2560598.0,26.13,2560598.0
2022-02-01,Ohio,754046,1489166,534.41,4.02964542E8,560.52,4.22178997E8,-26.11,-1.9214455E7,26.11,1.9214455E7
2004-10-01,Mississippi,155853,385716,368.46,5.7424679E7,342.35,5.301305E7,26.11,4411629.0,26.11,4411629.0
1993-01-01,Guam,3783,12061,844.78,3195754.0,870.87,3316261.0,-26.09,-120507.0,26.09,120507.0
2013-11-01,Kentucky,408474,845094,337.02,1.37663227E8,363.09,1.50587562E8,-26.07,-1.2924335E7,26.07,1.2924335E7
2014-12-01,Alaska,33109,77642,566.74,1.8764056E7,540.69,1.8057205E7,26.05,706851.0,26.05,706851.0
1999-11-01,Rhode Island,34193,76311,318.24,1.0881585E7,292.2,9855718.0,26.04,1025867.0,26.04,1025867.0
2020-10-01,Indiana,296730,643454,506.52,1.50300562E8,480.5,1.44306051E8,26.02,5994511.0,26.02,5994511.0
1991-10-01,Vermont,22284,50847,308.96,6885160.0,283.02,6089183.0,25.94,795977.0,25.94,795977.0
1998-10-01,Ohio,304744,665572,311.0,9.4772614E7,285.09,8.8225898E7,25.91,6546716.0,25.91,6546716.0
1992-05-01,Alaska,13904,43122,633.7,8810845.0,659.59,9180214.0,-25.89,-369369.0,25.89,369369.0
2025-01-01,Alabama,372801,742614,391.48,1.45945566E8,417.36,1.56775821E8,-25.88,-1.0830255E7,25.88,1.0830255E7
1993-12-01,Alaska,12273,35998,640.53,7861180.0,614.69,9404189.0,25.84,-1543009.0,25.84,1543009.0
2020-12-01,New York,1580350,2742577,404.15,6.38696443E8,429.98,6.75496728E8,-25.83,-3.6800285E7,25.83,3.6800285E7
2004-10-01,Texas,927670,2418671,407.34,3.77868098E8,381.52,3.49519067E8,25.82,2.8349031E7,25.82,2.8349031E7
2024-05-01,Louisiana,411398,834136,384.09,1.58015733E8,358.29,1.47038985E8,25.8,1.0976748E7,25.8,1.0976748E7
2013-11-01,Pennsylvania,888346,1802935,333.44,2.96209343E8,359.24,3.19046112E8,-25.8,-2.2836769E7,25.8,2.2836769E7
2011-11-01,Massachusetts,466579,843231,367.5,1.71463585E8,341.7,1.58499785E8,25.8,1.29638E7,25.8,1.29638E7
2023-10-01,Pennsylvania,1057459,1977626,361.98,3.82784029E8,336.19,3.51158707E8,25.79,3.1625322E7,25.79,3.1625322E7
2004-10-01,Nebraska,49124,115419,348.19,1.7104516E7,322.41,1.5746218E7,25.78,1358298.0,25.78,1358298.0
1992-10-01,Vermont,25592,58993,276.61,7078768.0,302.37,7002826.0,-25.76,75942.0,25.76,75942.0
